addr,category,brand
가평,치킨,23
가평,햄버거,7
가평,피자,4
강릉,치킨,53
강릉,피자,17
강릉,햄버거,15
강진,치킨,6
강진,햄버거,2
거제,치킨,42
거제,피자,27
거제,햄버거,16
거창,치킨,9
거창,피자,6
거창,햄버거,2
경산,치킨,42
경산,햄버거,27
경산,피자,21
경주,치킨,56
경주,햄버거,19
경주,피자,14
계룡,치킨,10
계룡,피자,7
계룡,햄버거,2
고령,치킨,4
고령,햄버거,2
고성(강원),치킨,12
고성(강원),햄버거,3
고성(강원),피자,2
고성(경상),치킨,5
고성(경상),햄버거,2
고양,치킨,162
고양,피자,94
고양,햄버거,66
고창,치킨,5
고창,피자,3
고창,햄버거,2
고흥,치킨,7
고흥,햄버거,3
고흥,피자,2
곡성,햄버거,3
곡성,치킨,3
공주,치킨,19
공주,피자,9
공주,햄버거,5
과천,햄버거,5
과천,피자,4
과천,치킨,4
광명,치킨,48
광명,피자,24
광명,햄버거,9
광양,치킨,25
광양,피자,16
광양,햄버거,10
광주,치킨,59
광주,피자,31
광주,햄버거,17
광주광산,치킨,66
광주광산,피자,34
광주광산,햄버거,28
광주남구,치킨,34
광주남구,피자,17
광주남구,햄버거,12
광주동구,치킨,19
광주동구,햄버거,7
광주동구,피자,5
광주북구,치킨,58
광주북구,피자,34
광주북구,햄버거,23
광주서구,치킨,49
광주서구,피자,19
광주서구,햄버거,17
괴산,치킨,5
괴산,햄버거,2
괴산,피자,1
구례,치킨,7
구례,햄버거,2
구례,피자,1
구리,치킨,23
구리,피자,17
구리,햄버거,10
구미,치킨,78
구미,햄버거,35
구미,피자,35
군산,치킨,41
군산,피자,22
군산,햄버거,14
군위,치킨,2
군위,피자,2
군위,햄버거,1
군포,치킨,35
군포,피자,25
군포,햄버거,7
금산,치킨,8
금산,피자,4
금산,햄버거,3
김제,치킨,8
김제,피자,6
김제,햄버거,2
김천,치킨,27
김천,피자,10
김천,햄버거,9
김포,치킨,71
김포,피자,43
김포,햄버거,31
김해,치킨,76
김해,피자,52
김해,햄버거,43
나주,치킨,15
나주,피자,8
나주,햄버거,7
남양주,치킨,126
남양주,피자,61
남양주,햄버거,39
남원,치킨,9
남원,피자,6
남원,햄버거,3
남해,치킨,13
남해,햄버거,5
남해,피자,1
논산,치킨,22
논산,피자,10
논산,햄버거,6
단양,치킨,10
단양,피자,2
단양,햄버거,1
담양,치킨,4
담양,햄버거,2
담양,피자,1
당진,치킨,44
당진,피자,15
당진,햄버거,13
대구남구,치킨,26
대구남구,햄버거,10
대구남구,피자,7
대구달서,치킨,109
대구달서,피자,38
대구달서,햄버거,31
대구달성,치킨,52
대구달성,피자,19
대구달성,햄버거,19
대구동구,치킨,54
대구동구,햄버거,24
대구동구,피자,16
대구북구,치킨,79
대구북구,피자,34
대구북구,햄버거,23
대구서구,치킨,23
대구서구,햄버거,10
대구서구,피자,6
대구수성,치킨,72
대구수성,피자,29
대구수성,햄버거,26
대구중구,햄버거,10
대구중구,치킨,9
대구중구,피자,6
대전대덕,치킨,38
대전대덕,피자,16
대전대덕,햄버거,9
대전동구,치킨,40
대전동구,피자,23
대전동구,햄버거,16
대전서구,치킨,89
대전서구,피자,33
대전서구,햄버거,30
대전유성,치킨,64
대전유성,햄버거,37
대전유성,피자,31
대전중구,치킨,42
대전중구,햄버거,16
대전중구,피자,14
동두천,치킨,16
동두천,피자,10
동두천,햄버거,5
동해,치킨,23
동해,피자,10
동해,햄버거,5
목포,치킨,37
목포,피자,21
목포,햄버거,15
무안,치킨,11
무안,피자,9
무안,햄버거,7
무주,치킨,6
무주,햄버거,2
무주,피자,1
문경,치킨,11
문경,피자,5
문경,햄버거,4
밀양,치킨,14
밀양,햄버거,6
밀양,피자,6
보령,치킨,23
보령,피자,10
보령,햄버거,7
보성,치킨,6
보성,햄버거,3
보성,피자,1
보은,치킨,8
보은,햄버거,2
보은,피자,2
봉화,치킨,5
봉화,햄버거,1
부산강서,치킨,33
부산강서,햄버거,12
부산강서,피자,9
부산금정,치킨,44
부산금정,햄버거,16
부산금정,피자,15
부산기장,치킨,29
부산기장,피자,17
부산기장,햄버거,12
부산남구,치킨,52
부산남구,피자,20
부산남구,햄버거,16
부산동구,치킨,14
부산동구,햄버거,6
부산동구,피자,3
부산동래,치킨,53
부산동래,피자,17
부산동래,햄버거,12
부산북구,치킨,49
부산북구,피자,20
부산북구,햄버거,13
부산사상,치킨,36
부산사상,피자,16
부산사상,햄버거,11
부산사하,치킨,58
부산사하,햄버거,21
부산사하,피자,20
부산서구,치킨,19
부산서구,피자,7
부산서구,햄버거,6
부산수영,치킨,31
부산수영,햄버거,9
부산수영,피자,7
부산연제,치킨,36
부산연제,햄버거,13
부산연제,피자,11
부산영도,치킨,19
부산영도,피자,10
부산영도,햄버거,5
부산중구,치킨,12
부산중구,햄버거,6
부산중구,피자,2
부산진구,치킨,68
부산진구,햄버거,24
부산진구,피자,22
부산해운대,치킨,65
부산해운대,햄버거,31
부산해운대,피자,26
부안,치킨,8
부안,피자,5
부안,햄버거,2
부여,치킨,6
부여,피자,3
부여,햄버거,3
부천,치킨,117
부천,피자,88
부천,햄버거,45
사천,치킨,16
사천,피자,13
사천,햄버거,7
산청,치킨,6
산청,햄버거,3
산청,피자,2
삼척,치킨,15
삼척,피자,7
삼척,햄버거,3
상주,치킨,16
상주,피자,6
상주,햄버거,3
서귀포,치킨,39
서귀포,햄버거,13
서귀포,피자,10
서산,치킨,34
서산,피자,21
서산,햄버거,12
서울강남,치킨,74
