addr,brand
가평,34
강릉,85
강진,8
거제,85
거창,17
경산,90
경주,89
계룡,19
고령,6
고성(강원),17
고성(경상),7
고양,322
고창,10
고흥,12
곡성,6
공주,33
과천,13
광명,81
광양,51
광주,107
광주광산,128
광주남구,63
광주동구,31
광주북구,115
광주서구,85
괴산,8
구례,10
구리,50
구미,148
군산,77
군위,5
군포,67
금산,15
김제,16
김천,46
김포,145
김해,171
나주,30
남양주,226
남원,18
남해,19
논산,38
단양,13
담양,7
당진,72
대구남구,43
대구달서,178
대구달성,90
대구동구,94
대구북구,136
대구서구,39
대구수성,127
대구중구,25
대전대덕,63
대전동구,79
대전서구,152
대전유성,132
대전중구,72
동두천,31
동해,38
목포,73
무안,27
무주,9
문경,20
밀양,26
보령,40
보성,10
보은,12
봉화,6
부산강서,54
부산금정,75
부산기장,58
부산남구,88
부산동구,23
부산동래,82
부산북구,82
부산사상,63
부산사하,99
부산서구,32
부산수영,47
부산연제,60
부산영도,34
부산중구,20
부산진구,114
부산해운대,122
부안,15
부여,12
부천,250
사천,36
산청,11
삼척,25
상주,25
서귀포,62
서산,67
서울강남,150
서울강동,127
서울강북,77
서울강서,142
서울관악,122
서울광진,123
서울구로,121
서울금천,64
서울노원,118
서울도봉,76
서울동대문,102
서울동작,99
서울마포,107
서울서대문,94
서울서초,89
서울성동,76
서울성북,117
서울송파,193
서울양천,118
서울영등포,106
서울용산,64
서울은평,109
서울종로,56
서울중구,51
서울중랑,104
서천,19
성남,230
성주,11
세종,108
속초,33
수원,369
순창,5
순천,88
시흥,187
신안,3
아산,132
안동,52
안산,188
안성,73
안양,158
양구,15
양산,114
양양,11
양주,90
양평,39
여수,89
여주,38
연천,23
영광,13
영덕,16
영동,15
영암,13
영양,2
영월,18
영주,35
영천,18
예산,30
예천,22
오산,72
옥천,14
완도,13
완주,27
용인,289
울릉,2
울산남구,104
울산동구,47
울산북구,87
울산울주,78
울산중구,82
울진,22
원주,176
음성,54
의령,8
의성,10
의왕,44
의정부,148
이천,86
익산,68
인제,33
인천강화,16
인천계양,91
인천남구,122
인천남동,163
인천동구,19
인천부평,125
인천서구,158
인천연수,118
인천옹진,7
인천중구,55
임실,4
장성,11
장수,4
장흥,10
전주,193
정선,24
정읍,23
제주,127
제천,46
증평,14
진도,7
진안,2
진주,114
진천,36
창녕,16
창원,305
천안,265
철원,28
청도,7
청송,4
청양,8
청주,283
춘천,103
충주,84
칠곡,40
태백,13
태안,23
통영,34
파주,140
평창,30
평택,166
포천,56
포항,163
하남,60
하동,10
함안,19
함양,17
함평,4
합천,8
해남,21
홍성,36
홍천,39
화성,240
화순,15
화천,26
횡성,18
