addr,single_person
서울특별시 종로구,1732.2
서울특별시 중구,1521.2
서울특별시 용산구,2458.7
서울특별시 성동구,2839.0
서울특별시 광진구,4153.4
서울특별시 동대문구,4061.6
서울특별시 중랑구,3773.6
서울특별시 성북구,4100.7
서울특별시 강북구,3045.7
서울특별시 도봉구,2325.0
서울특별시 노원구,3762.5
서울특별시 은평구,3856.8
서울특별시 서대문구,3324.2
서울특별시 마포구,4211.4
서울특별시 양천구,2029.0
서울특별시 강서구,5744.8
서울특별시 구로구,3398.0
서울특별시 금천구,2022.3
서울특별시 영등포구,4266.7
서울특별시 동작구,4273.4
서울특별시 관악구,8615.5
서울특별시 서초구,2929.4
서울특별시 강남구,4599.9
서울특별시 송파구,4913.0
서울특별시 강동구,3354.4
부산광역시 중구,667.1
부산광역시 서구,1225.6
부산광역시 동구,1033.8
부산광역시 영도구,1271.5
부산광역시 부산진구,3928.2
부산광역시 동래구,1933.8
부산광역시 남구,2328.9
부산광역시 북구,2093.1
부산광역시 해운대구,2991.1
부산광역시 사하구,2654.4
부산광역시 금정구,2451.9
부산광역시 강서구,894.0
부산광역시 연제구,1738.5
부산광역시 수영구,1846.4
부산광역시 사상구,2061.4
부산광역시 기장군,1226.8
대구광역시 중구,986.8
대구광역시 동구,3013.8
대구광역시 서구,1718.0
대구광역시 남구,1994.4
대구광역시 북구,3687.4
대구광역시 수성구,2679.7
대구광역시 달서구,4518.0
대구광역시 달성군,1704.6
인천광역시 중구,1540.0
인천광역시 동구,489.0
인천광역시 연수구,2316.3
인천광역시 남동구,3959.7
인천광역시 부평구,3575.7
인천광역시 계양구,1974.8
인천광역시 서구,3253.2
인천광역시 남구,3764.8
인천광역시 강화군,539.6
광주광역시 동구,1264.6
광주광역시 서구,2782.0
광주광역시 남구,1727.0
광주광역시 북구,3989.7
광주광역시 광산구,3166.4
대전광역시 동구,2777.5
대전광역시 중구,2142.8
대전광역시 서구,4780.1
대전광역시 유성구,3947.4
대전광역시 대덕구,1608.1
울산광역시 중구,1624.1
울산광역시 남구,2680.1
울산광역시 동구,1123.8
울산광역시 북구,1128.3
울산광역시 울주군,1633.4
세종특별자치시 세종시,2905.1
경기도 수원시,2442.8
경기도 성남시,2565.1
경기도 의정부시,3333.8
경기도 안양시,1617.7
경기도 부천시,5673.6
경기도 광명시,1766.4
경기도 평택시,4639.5
경기도 동두천시,802.3
경기도 안산시,2017.6
경기도 고양시,2231.2
경기도 과천시,249.6
경기도 구리시,1210.2
경기도 남양주시,3561.2
경기도 오산시,1979.4
경기도 시흥시,3728.4
경기도 군포시,1732.4
경기도 의왕시,858.4
경기도 하남시,2250.6
경기도 용인시,2520.9
경기도 파주시,2920.2
경기도 이천시,1622.1
경기도 안성시,1734.6
경기도 김포시,2752.2
경기도 화성시,6077.6
경기도 광주시,3199.8
경기도 양주시,1495.5
경기도 포천시,1272.5
경기도 여주시,885.8
경기도 연천군,413.3
경기도 가평군,599.7
경기도 양평군,996.6
강원도 춘천시,2655.0
강원도 원주시,3462.6
강원도 강릉시,2509.0
