addr,smoking,drinking,w_control,nutirition,stressed,depressed
서울 강남구,17.2(1.2),57.7(1.5),76.1(1.4),90.3(1.8),30.6(1.4),9.7(1.0)
서울 강동구,15.0(1.3),54.9(1.7),73.3(1.7),90.3(1.9),28.4(1.6),5.7(0.8)
서울 강북구,19.7(1.6),55.2(1.9),74.9(1.6),90.3(1.10),35.1(2.0),6.9(1.1)
서울 강서구,18.2(1.3),55.0(1.8),73.9(1.5),90.3(1.11),31.0(1.8),6.8(1.0)
서울 관악구,16.5(1.4),52.6(1.6),67.4(1.6),90.3(1.12),32.2(1.8),4.3(0.6)
서울 광진구,15.4(1.2),55.0(1.6),71.8(1.5),90.3(1.13),29.7(1.5),7.6(0.9)
서울 구로구,15.5(1.3),54.8(1.9),63.8(1.7),90.3(1.14),27.9(1.8),5.5(0.8)
서울 금천구,20.6(1.4),55.4(1.8),73.5(1.7),90.3(1.15),31.1(1.8),8.2(1.1)
서울 노원구,13.1(1.3),57.1(1.7),67.4(1.7),90.3(1.16),24.4(1.7),4.8(0.7)
서울 도봉구,20.9(1.6),57.0(1.8),72.3(1.6),90.3(1.17),29.0(1.8),5.8(1.0)
서울 동대문구,17.0(1.4),53.8(1.9),69.9(1.8),90.3(1.18),26.2(1.8),4.5(0.8)
서울 동작구,15.0(1.2),57.3(1.7),72.0(1.6),90.3(1.19),26.8(1.7),5.9(0.8)
서울 마포구,17.6(1.4),63.0(1.5),69.4(1.7),90.3(1.20),29.6(1.6),6.2(0.9)
서울 서대문구,16.2(1.3),52.7(1.8),73.7(1.6),90.3(1.21),20.8(1.5),3.9(0.7)
서울 서초구,13.1(1.2),56.5(1.6),73.9(1.5),90.3(1.22),29.2(1.6),6.9(0.9)
서울 성동구,18.7(1.4),60.3(1.6),71.3(1.5),86.7(1.9),31.8(1.6),4.8(0.7)
서울 성북구,18.6(1.5),57.7(1.9),68.6(1.7),88.8(2.0),33.8(1.8),8.0(1.0)
