,addr,category,brand
0,의정부,피자,59쌀피자
1,대전동구,피자,59쌀피자
2,창원,피자,59쌀피자
3,인천서구,피자,59쌀피자
4,인천서구,피자,59쌀피자
5,성남,피자,59쌀피자
6,양산,피자,59쌀피자
7,인천남동,피자,59쌀피자
8,인천남동,피자,59쌀피자
9,강릉,피자,59쌀피자
10,서울양천,피자,59쌀피자
11,영월,피자,59쌀피자
12,인천강화,피자,59쌀피자
13,춘천,피자,59쌀피자
14,시흥,피자,59쌀피자
15,거제,피자,59쌀피자
16,거제,피자,59쌀피자
17,거제,피자,59쌀피자
18,거창,피자,59쌀피자
19,김포,피자,59쌀피자
20,인천서구,피자,59쌀피자
21,인천서구,피자,59쌀피자
22,수원,피자,59쌀피자
23,인천서구,피자,59쌀피자
24,인천계양,피자,59쌀피자
25,부천,피자,59쌀피자
26,서울동대문,피자,59쌀피자
27,수원,피자,59쌀피자
28,고양,피자,59쌀피자
29,안산,피자,59쌀피자
30,서울구로,피자,59쌀피자
31,안성,피자,59쌀피자
32,인천중구,피자,59쌀피자
33,인천남구,피자,59쌀피자
34,진천,피자,59쌀피자
35,구미,피자,59쌀피자
36,구미,피자,59쌀피자
37,인천남동,피자,59쌀피자
38,인천남동,피자,59쌀피자
39,인천남동,피자,59쌀피자
40,서울광진,피자,59쌀피자
41,대구달성,피자,59쌀피자
42,군산,피자,59쌀피자
43,군산,피자,59쌀피자
44,군산,피자,59쌀피자
45,군포,피자,59쌀피자
46,서울강동,피자,59쌀피자
47,서울구로,피자,59쌀피자
48,수원,피자,59쌀피자
49,인천계양,피자,59쌀피자
50,수원,피자,59쌀피자
51,남양주,피자,59쌀피자
52,서울성동,피자,59쌀피자
53,익산,피자,59쌀피자
54,음성,피자,59쌀피자
55,부천,피자,59쌀피자
56,부산기장,피자,59쌀피자
57,김제,피자,59쌀피자
58,김포,피자,59쌀피자
59,김포,피자,59쌀피자
60,김포,피자,59쌀피자
61,김포,피자,59쌀피자
62,김해,피자,59쌀피자
63,김해,피자,59쌀피자
64,서울관악,피자,59쌀피자
65,서울구로,피자,59쌀피자
66,남양주,피자,59쌀피자
67,남원,피자,59쌀피자
68,춘천,피자,59쌀피자
69,강릉,피자,59쌀피자
70,홍성,피자,59쌀피자
71,논산,피자,59쌀피자
72,인천남동,피자,59쌀피자
73,인천남동,피자,59쌀피자
74,울산북구,피자,59쌀피자
75,단양,피자,59쌀피자
76,단양,피자,59쌀피자
77,부산부산진,피자,59쌀피자
78,군포,피자,59쌀피자
79,당진,피자,59쌀피자
80,인천서구,피자,59쌀피자
81,평창,피자,59쌀피자
82,서울동작,피자,59쌀피자
83,군산,피자,59쌀피자
84,오산,피자,59쌀피자
85,대전동구,피자,59쌀피자
86,대전서구,피자,59쌀피자
87,대전중구,피자,59쌀피자
88,대전중구,피자,59쌀피자
89,대전서구,피자,59쌀피자
90,대전동구,피자,59쌀피자
91,대전대덕,피자,59쌀피자
92,대전서구,피자,59쌀피자
93,대전중구,피자,59쌀피자
94,대전동구,피자,59쌀피자
95,포천,피자,59쌀피자
96,고양,피자,59쌀피자
97,양주,피자,59쌀피자
98,대전대덕,피자,59쌀피자
99,고양,피자,59쌀피자
100,양주,피자,59쌀피자
101,창원,피자,59쌀피자
102,부천,피자,59쌀피자
103,인천계양,피자,59쌀피자
104,서울도봉,피자,59쌀피자
105,서울성북,피자,59쌀피자
106,안성,피자,59쌀피자
107,서울종로,피자,59쌀피자
108,보령,피자,59쌀피자
109,동두천,피자,59쌀피자
110,동두천,피자,59쌀피자
111,서울종로,피자,59쌀피자
112,인천부평,피자,59쌀피자
113,인천부평,피자,59쌀피자
114,아산,피자,59쌀피자
115,인천연수,피자,59쌀피자
116,서울강서,피자,59쌀피자
117,인천서구,피자,59쌀피자
118,서울강서,피자,59쌀피자
119,고양,피자,59쌀피자
120,창원,피자,59쌀피자
121,남양주,피자,59쌀피자
122,인천서구,피자,59쌀피자
123,서울송파,피자,59쌀피자
124,서울용산,피자,59쌀피자
125,인천남동,피자,59쌀피자
126,인천남동,피자,59쌀피자
127,인천남동,피자,59쌀피자
128,서울중랑,피자,59쌀피자
129,수원,피자,59쌀피자
130,수원,피자,59쌀피자
131,수원,피자,59쌀피자
132,시흥,피자,59쌀피자
133,서울중랑,피자,59쌀피자
134,서울강서,피자,59쌀피자
135,춘천,피자,59쌀피자
136,인천남동,피자,59쌀피자
137,익산,피자,59쌀피자
138,서울양천,피자,59쌀피자
139,대전서구,피자,59쌀피자
140,충주,피자,59쌀피자
141,무주,피자,59쌀피자
142,파주,피자,59쌀피자
143,부천,피자,59쌀피자
144,의정부,피자,59쌀피자
145,인천계양,피자,59쌀피자
146,원주,피자,59쌀피자
147,대전유성,피자,59쌀피자
148,서울강서,피자,59쌀피자
149,서울강북,피자,59쌀피자
150,서울강서,피자,59쌀피자
151,시흥,피자,59쌀피자
152,대전대덕,피자,59쌀피자
153,대전서구,피자,59쌀피자
154,천안,피자,59쌀피자
155,서울동작,피자,59쌀피자
156,보령,피자,59쌀피자
157,보령,피자,59쌀피자
158,서울강동,피자,59쌀피자
159,울산중구,피자,59쌀피자
160,화성,피자,59쌀피자
161,광주남구,피자,59쌀피자
162,인천부평,피자,59쌀피자
163,인천부평,피자,59쌀피자
164,부안,피자,59쌀피자
165,부천,피자,59쌀피자
166,인천부평,피자,59쌀피자
167,인천부평,피자,59쌀피자
168,동해,피자,59쌀피자
169,수원,피자,59쌀피자
170,서울은평,피자,59쌀피자
171,인천서구,피자,59쌀피자
172,인천부평,피자,59쌀피자
173,인천부평,피자,59쌀피자
174,울산북구,피자,59쌀피자
175,인천부평,피자,59쌀피자
176,고양,피자,59쌀피자
177,서울강북,피자,59쌀피자
178,전주,피자,59쌀피자
179,서울노원,피자,59쌀피자
180,서울동작,피자,59쌀피자
181,부천,피자,59쌀피자
182,구미,피자,59쌀피자
183,장성,피자,59쌀피자
184,서울중랑,피자,59쌀피자
185,서울마포,피자,59쌀피자
186,상주,피자,59쌀피자
187,대구북구,피자,59쌀피자
188,서울은평,피자,59쌀피자
189,서산,피자,59쌀피자
190,서산,피자,59쌀피자
191,부천,피자,59쌀피자
192,인천남동,피자,59쌀피자
193,인천서구,피자,59쌀피자
194,부천,피자,59쌀피자
195,서울구로,피자,59쌀피자
196,성남,피자,59쌀피자
197,성남,피자,59쌀피자
198,성남,피자,59쌀피자
199,수원,피자,59쌀피자
200,부천,피자,59쌀피자
201,부천,피자,59쌀피자
202,부천,피자,59쌀피자
203,부천,피자,59쌀피자
204,인천연수,피자,59쌀피자
205,인천연수,피자,59쌀피자
206,당진,피자,59쌀피자
207,포천,피자,59쌀피자
208,구미,피자,59쌀피자
209,인천동구,피자,59쌀피자
210,남양주,피자,59쌀피자
211,서울노원,피자,59쌀피자
212,수원,피자,59쌀피자
213,수원,피자,59쌀피자
