"행정구역(시군구)별",2021. 08,2021. 08,2021. 08,2019,2019,2019,2020,2020,2020
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51669716,25766031,25903685,51849861,25864816,25985045,51829023,25841029,25987994
"서울특별시",9550227,4640740,4909487,9729107,4744059,4985048,9668465,4701723,4966742
"종로구",145551,70715,74836,151290,73746,77544,149384,72635,76749
"중구",122852,59868,62984,126171,61910,64261,125240,61222,64018
"용산구",224977,108220,116757,228670,110356,118314,230040,110722,119318
"성동구",288214,140517,147697,300889,147273,153616,293556,143387,150169
"광진구",341505,164748,176757,351350,170262,181088,346682,167310,179372
"동대문구",337857,167140,170717,346194,172113,174081,342837,169769,173068
"중랑구",388911,192060,196851,397015,196959,200056,394702,195165,199537
"성북구",432815,208711,224104,442650,214437,228213,437153,210810,226343
"강북구",301430,146919,154511,313954,153235,160719,308055,150143,157912
"도봉구",319211,155523,163688,333362,163051,170311,325257,158620,166637
"노원구",514050,247676,266374,532905,257923,274982,523037,252383,270654
"은평구",474414,226964,247450,480032,231528,248504,479835,230279,249556
"서대문구",306472,146553,159919,309397,148663,160734,312173,149360,162813
"마포구",370053,174204,195849,374035,176891,197144,371890,175150,196740
"양천구",449603,220421,229182,458165,225186,232979,454251,222824,231427
"강서구",576361,277705,298656,591796,286563,305233,580185,280034,300151
"구로구",397887,196249,201638,406664,200987,205677,404408,199673,204735
"금천구",230759,116714,114045,232810,118209,114601,231733,117226,114507
"영등포구",377655,186526,191129,367678,182438,185240,379480,187647,191833
"동작구",387558,187510,200048,395963,191976,203987,391220,189152,202068
"관악구",488304,245308,242996,500094,251009,249085,495060,248339,246721
"서초구",417568,199722,217846,430826,206039,224787,425126,203359,221767
"강남구",532818,254936,277882,545169,260806,284363,539231,257999,281232
"송파구",658991,317635,341356,675961,327164,348797,667960,322299,345661
"강동구",464411,228196,236215,436067,215335,220732,459970,226216,233754
"부산광역시",3359527,1644378,1715149,3413841,1675417,1738424,3391946,1661000,1730946
"중구",40713,19862,20851,41910,20557,21353,41523,20282,21241
"서구",105996,51308,54688,108229,52627,55602,108135,52341,55794
"동구",87585,42817,44768,88165,43327,44838,88901,43509,45392
"영도구",111386,54888,56498,116711,57629,59082,113342,55846,57496
"부산진구",355138,171257,183881,357880,173446,184434,359886,173920,185966
"동래구",267672,130155,137517,271247,132295,138952,270745,131735,139010
"남구",263333,128710,134623,274480,134519,139961,267731,131037,136694
"북구",283901,140302,143599,291132,144229,146903,283952,140527,143425
"해운대구",398117,191483,206634,406102,195960,210142,402169,193618,208551
"사하구",306885,152766,154119,321004,160101,160903,311757,155228,156529
"금정구",229240,112060,117180,239062,117070,121992,232666,113595,119071
"강서구",141688,73380,68308,129566,66982,62584,137957,71245,66712
"연제구",205700,99010,106690,209395,101253,108142,209157,100700,108457
"수영구",175815,83040,92775,176148,83565,92583,176894,83573,93321
"사상구",209547,105794,103753,218094,110286,107808,212586,107405,105181
"기장군",176811,87546,89265,164716,81571,83145,174545,86439,88106
"대구광역시",2393626,1180223,1213403,2438031,1205286,1232745,2418346,1193109,1225237
"중구",74125,35580,38545,77421,37384,40037,76547,36799,39748
"동구",340242,167453,172789,345469,170601,174868,341920,168443,173477
"서구",166878,83453,83425,175277,88052,87225,170700,85572,85128
"남구",144564,69510,75054,148113,71366,76747,146632,70471,76161
"북구",436827,217339,219488,437710,218150,219560,440263,219197,221066
"수성구",419837,203120,216717,428614,208024,220590,424314,205293,219021
"달서구",549494,270975,278519,568887,281348,287539,558631,275626,283005
"달성군",261659,132793,128866,256540,130361,126179,259339,131708,127631
"인천광역시",2938429,1471347,1467082,2957026,1482249,1474777,2942828,1473943,1468885
"중구",141341,73472,67869,135135,70063,65072,139729,72485,67244
"중구영종출장소",0,0,0,-,-,-,0,0,0
"중구용유출장소",0,0,0,-,-,-,0,0,0
"동구",62410,31517,30893,64427,32536,31891,62542,31575,30967
"미추홀구",405811,204357,201454,408862,206129,202733,404343,203638,200705
"연수구",390107,193801,196306,366550,182374,184176,387450,192570,194880
"남동구",519667,258080,261587,532704,264955,267749,525354,260923,264431
"부평구",489178,241608,247570,511577,253338,258239,494962,244713,250249
"계양구",295492,147178,148314,303471,151569,151902,296750,147976,148774
"서구",544726,275064,269662,544556,274942,269614,542040,273778,268262
"서구검단출장소",0,0,0,-,-,-,0,0,0
"강화군",69324,34679,34645,69178,34665,34513,69203,34644,34559
"옹진군",20373,11591,8782,20566,11678,8888,20455,11641,8814
"광주광역시",1441970,713286,728684,1456468,720740,735728,1450062,717348,732714
"동구",103333,50981,52352,98585,48799,49786,102897,50810,52087
"서구",292400,143271,149129,300975,147671,153304,296576,145374,151202
"남구",214051,102881,111170,218060,105027,113033,214579,103257,111322
"북구",427773,212410,215363,433533,215260,218273,430431,213611,216820
"광산구",404413,203743,200670,405315,203983,201332,405579,204296,201283
"대전광역시",1454679,725956,728723,1474870,736607,738263,1463882,730699,733183
"동구",223206,112538,110668,226771,114447,112324,223021,112416,110605
"중구",232309,114475,117834,240473,118864,121609,235550,116233,119317
"서구",474504,233278,241226,481222,236851,244371,477880,235112,242768
"유성구",349809,176672,173137,349373,176415,172958,351047,177240,173807
"대덕구",174851,88993,85858,177031,90030,87001,176384,89698,86686
"울산광역시",1124459,577806,546653,1148019,589712,558307,1136017,583708,552309
"중구",214280,108516,105764,223581,113526,110055,217595,110201,107394
"남구",315599,160976,154623,323819,165062,158757,320064,163198,156866
"동구",154705,80767,73938,159656,83391,76265,156806,81999,74807
"북구",217920,112835,105085,217796,112588,105208,219014,113392,105622
"울주군",221955,114712,107243,223167,115145,108022,222538,114918,107620
"세종특별자치시",365309,182430,182879,340575,169845,170730,355831,177568,178263
"세종시",365309,182430,182879,340575,169845,170730,355831,177568,178263
"경기도",13530519,6810105,6720414,13239666,6659995,6579671,13427014,6754469,6672545
"수원시",1183419,595810,587609,1194465,601410,593055,1186078,597076,589002
"장안구",269906,135945,133961,278377,140218,138159,273661,137807,135854
