addr,total_2021,male_2021,female_2021,total_2019,male_2019,female_2019
서울특별시 종로구,145551,70715,74836,151290,73746,77544
서울특별시 중구,122852,59868,62984,126171,61910,64261
서울특별시 용산구,224977,108220,116757,228670,110356,118314
서울특별시 성동구,288214,140517,147697,300889,147273,153616
서울특별시 광진구,341505,164748,176757,351350,170262,181088
서울특별시 동대문구,337857,167140,170717,346194,172113,174081
서울특별시 중랑구,388911,192060,196851,397015,196959,200056
서울특별시 성북구,432815,208711,224104,442650,214437,228213
서울특별시 강북구,301430,146919,154511,313954,153235,160719
서울특별시 도봉구,319211,155523,163688,333362,163051,170311
서울특별시 노원구,514050,247676,266374,532905,257923,274982
서울특별시 은평구,474414,226964,247450,480032,231528,248504
서울특별시 서대문구,306472,146553,159919,309397,148663,160734
서울특별시 마포구,370053,174204,195849,374035,176891,197144
서울특별시 양천구,449603,220421,229182,458165,225186,232979
서울특별시 강서구,576361,277705,298656,591796,286563,305233
서울특별시 구로구,397887,196249,201638,406664,200987,205677
서울특별시 금천구,230759,116714,114045,232810,118209,114601
서울특별시 영등포구,377655,186526,191129,367678,182438,185240
서울특별시 동작구,387558,187510,200048,395963,191976,203987
서울특별시 관악구,488304,245308,242996,500094,251009,249085
서울특별시 서초구,417568,199722,217846,430826,206039,224787
서울특별시 강남구,532818,254936,277882,545169,260806,284363
서울특별시 송파구,658991,317635,341356,675961,327164,348797
서울특별시 강동구,464411,228196,236215,436067,215335,220732
부산광역시 중구,40713,19862,20851,41910,20557,21353
부산광역시 서구,105996,51308,54688,108229,52627,55602
부산광역시 동구,87585,42817,44768,88165,43327,44838
부산광역시 영도구,111386,54888,56498,116711,57629,59082
부산광역시 부산진구,355138,171257,183881,357880,173446,184434
부산광역시 동래구,267672,130155,137517,271247,132295,138952
부산광역시 남구,263333,128710,134623,274480,134519,139961
부산광역시 북구,283901,140302,143599,291132,144229,146903
부산광역시 해운대구,398117,191483,206634,406102,195960,210142
부산광역시 사하구,306885,152766,154119,321004,160101,160903
부산광역시 금정구,229240,112060,117180,239062,117070,121992
부산광역시 강서구,141688,73380,68308,129566,66982,62584
부산광역시 연제구,205700,99010,106690,209395,101253,108142
부산광역시 수영구,175815,83040,92775,176148,83565,92583
부산광역시 사상구,209547,105794,103753,218094,110286,107808
부산광역시 기장군,176811,87546,89265,164716,81571,83145
대구광역시 중구,74125,35580,38545,77421,37384,40037
대구광역시 동구,340242,167453,172789,345469,170601,174868
대구광역시 서구,166878,83453,83425,175277,88052,87225
대구광역시 남구,144564,69510,75054,148113,71366,76747
대구광역시 북구,436827,217339,219488,437710,218150,219560
대구광역시 수성구,419837,203120,216717,428614,208024,220590
대구광역시 달서구,549494,270975,278519,568887,281348,287539
대구광역시 달성군,261659,132793,128866,256540,130361,126179
인천광역시 중구,141341,73472,67869,135135,70063,65072
인천광역시 동구,62410,31517,30893,64427,32536,31891
인천광역시 미추홀구,405811,204357,201454,408862,206129,202733
인천광역시 연수구,390107,193801,196306,366550,182374,184176
인천광역시 남동구,519667,258080,261587,532704,264955,267749
인천광역시 부평구,489178,241608,247570,511577,253338,258239
인천광역시 계양구,295492,147178,148314,303471,151569,151902
인천광역시 서구,544726,275064,269662,544556,274942,269614
인천광역시 강화군,69324,34679,34645,69178,34665,34513
인천광역시 옹진군,20373,11591,8782,20566,11678,8888
광주광역시 동구,103333,50981,52352,98585,48799,49786
광주광역시 서구,292400,143271,149129,300975,147671,153304
광주광역시 남구,214051,102881,111170,218060,105027,113033
광주광역시 북구,427773,212410,215363,433533,215260,218273
광주광역시 광산구,404413,203743,200670,405315,203983,201332
대전광역시 동구,223206,112538,110668,226771,114447,112324
대전광역시 중구,232309,114475,117834,240473,118864,121609
대전광역시 서구,474504,233278,241226,481222,236851,244371
대전광역시 유성구,349809,176672,173137,349373,176415,172958
대전광역시 대덕구,174851,88993,85858,177031,90030,87001
울산광역시 중구,214280,108516,105764,223581,113526,110055
울산광역시 남구,315599,160976,154623,323819,165062,158757
울산광역시 동구,154705,80767,73938,159656,83391,76265
울산광역시 북구,217920,112835,105085,217796,112588,105208
울산광역시 울주군,221955,114712,107243,223167,115145,108022
세종특별자치시 세종시,365309,182430,182879,340575,169845,170730
경기도 수원시,1183419,595810,587609,1194465,601410,593055
경기도 장안구,269906,135945,133961,278377,140218,138159
경기도 권선구,365103,184433,180670,371754,187627,184127
경기도 팔달구,183288,92377,90911,175866,88523,87343
경기도 영통구,365122,183055,182067,368468,185042,183426
경기도 성남시,931931,461612,470319,942724,466644,476080
경기도 수정구,235720,119326,116394,234678,118631,116047
경기도 중원구,213784,108332,105452,220041,111444,108597
경기도 분당구,482427,233954,248473,488005,236569,251436
경기도 의정부시,463373,228349,235024,451868,222590,229278
경기도 안양시,548491,271131,277360,567044,280652,286392
경기도 만안구,239071,119678,119393,244235,122326,121909
경기도 동안구,309420,151453,157967,322809,158326,164483
경기도 부천시,809559,401353,408206,829996,412500,417496
경기도 광명시,295335,145603,149732,316552,156405,160147
경기도 평택시,554511,288302,266209,513027,264012,249015
경기도 동두천시,93414,46627,46787,94768,47308,47460
경기도 안산시,654477,335701,318776,650918,333766,317152
경기도 상록구,352166,179726,172440,344613,175789,168824
경기도 단원구,302311,155975,146336,306305,157977,148328
경기도 고양시,1080896,528972,551924,1066351,522749,543602
경기도 덕양구,481641,237826,243815,466157,230858,235299
경기도 일산동구,299985,145977,154008,297671,144991,152680
경기도 일산서구,299270,145169,154101,302523,146900,155623
경기도 과천시,69640,34223,35417,58289,28638,29651
경기도 구리시,193662,96074,97588,199265,98968,100297
경기도 남양주시,727221,361913,365308,701830,349664,352166
경기도 오산시,230555,119590,110965,226379,116904,109475
경기도 시흥시,511807,267236,244571,473682,247804,225878
경기도 군포시,269752,133758,135994,275852,136878,138974
경기도 의왕시,163510,81300,82210,161153,80353,80800
경기도 하남시,310365,155478,154887,272455,136985,135470
