addr,financial
서울특별시 종로구,47.2
서울특별시 중구,55.3
서울특별시 용산구,41.7
서울특별시 성동구,33.2
서울특별시 광진구,26.1
서울특별시 동대문구,24.5
서울특별시 중랑구,18.2
서울특별시 성북구,20.6
서울특별시 강북구,17.2
서울특별시 도봉구,18.9
서울특별시 노원구,15.9
서울특별시 은평구,18.4
서울특별시 서대문구,23.5
서울특별시 마포구,32.0
서울특별시 양천구,25.2
서울특별시 강서구,21.9
서울특별시 구로구,22.5
서울특별시 금천구,26.3
서울특별시 영등포구,36.5
서울특별시 동작구,29.1
서울특별시 관악구,19.7
서울특별시 서초구,58.2
서울특별시 강남구,54.9
서울특별시 송파구,39.8
서울특별시 강동구,26.7
부산광역시 중구,23.4
부산광역시 서구,11.3
부산광역시 동구,15.7
부산광역시 영도구,9.3
부산광역시 부산진구,19.9
부산광역시 동래구,21.3
부산광역시 남구,19.7
부산광역시 북구,11.9
부산광역시 해운대구,28.9
부산광역시 사하구,16.8
부산광역시 금정구,16.0
부산광역시 강서구,43.4
부산광역시 연제구,19.0
부산광역시 수영구,18.8
부산광역시 사상구,18.6
부산광역시 기장군,28.5
대구광역시 중구,26.1
대구광역시 동구,17.1
대구광역시 서구,13.1
대구광역시 남구,10.9
대구광역시 북구,17.4
대구광역시 수성구,26.1
대구광역시 달서구,21.7
대구광역시 달성군,28.4
인천광역시 중구,44.0
인천광역시 동구,10.6
인천광역시 연수구,31.5
인천광역시 남동구,22.0
인천광역시 부평구,17.1
인천광역시 계양구,15.6
인천광역시 서구,31.3
인천광역시 미추홀구,14.4
인천광역시 강화군,14.2
인천광역시 옹진군,9.0
광주광역시 동구,14.4
광주광역시 서구,17.5
광주광역시 남구,12.7
광주광역시 북구,13.6
광주광역시 광산구,19.2
대전광역시 동구,10.6
대전광역시 중구,11.1
대전광역시 서구,17.8
대전광역시 유성구,26.0
대전광역시 대덕구,13.8
울산광역시 중구,16.3
울산광역시 남구,27.6
울산광역시 동구,18.8
울산광역시 북구,26.1
울산광역시 울주군,32.0
세종특별자치시 nan,58.8
경기도 수원시,44.8
경기도 성남시,58.5
경기도 의정부시,22.9
경기도 안양시,37.4
경기도 부천시,32.5
경기도 광명시,33.6
경기도 평택시,41.1
경기도 동두천시,14.4
경기도 안산시,36.9
경기도 고양시,34.7
경기도 과천시,28.7
경기도 구리시,33.9
경기도 남양주시,29.6
경기도 오산시,28.3
경기도 시흥시,40.2
경기도 군포시,32.4
경기도 의왕시,32.5
경기도 하남시,47.3
경기도 용인시,48.7
경기도 파주시,32.1
경기도 이천시,38.5
경기도 안성시,28.4
경기도 김포시,34.0
경기도 화성시,58.4
경기도 광주시,39.6
경기도 양주시,25.5
경기도 포천시,24.2
경기도 여주시,23.1
경기도 연천군,18.6
경기도 가평군,18.5
경기도 양평군,17.7
강원도 춘천시,19.1
강원도 원주시,18.8
강원도 강릉시,15.5
강원도 동해시,17.3
강원도 태백시,17.2
강원도 속초시,19.7
강원도 삼척시,12.2
강원도 홍천군,11.9
강원도 횡성군,11.7
강원도 영월군,13.3
강원도 평창군,11.2
강원도 정선군,16.2
강원도 철원군,7.2
강원도 화천군,7.0
강원도 양구군,9.4
강원도 인제군,8.9
강원도 고성군,8.1
강원도 양양군,14.9
충청북도 충주시,17.3
충청북도 제천시,13.2
충청북도 청주시,28.0
충청북도 보은군,9.7
충청북도 옥천군,10.5
충청북도 영동군,8.0
충청북도 진천군,25.4
충청북도 괴산군,7.4
