addr,smoking,drinking,w_control,nutirition,stressed,depressed
가평,20.5,51.6,52.1,86.9,20.1,3.5
강릉,20.3,59.6,70.9,84.7,30.5,6.8
강진,19.3,43,55.9,75.1,17.2,3.6
거제,18.7,50.3,68.8,82.7,21.4,5.6
거창,20.7,57.6,61.3,76.3,24.3,3.5
경산,18.6,53.4,63.5,81.9,28.1,10
경주,18.7,56.4,63.7,88.1,23,6.5
계룡,14.2,52.4,71.6,82.8,24.5,3.1
고령,24.8,54.9,56.7,73.2,21.1,5.3
고성(강원),26.3,53.3,60,42.4,15.6,3.3
고성(경남),26.3,55.3,60,42.4,15.6,3.3
고양,17.7,58,67.4,84.6,31.1,6.1
고창,16.4,48.3,48.3,93.1,20.5,2.4
고흥,18,46.9,49.9,88.1,17.5,2.5
곡성,17.2,51.9,57.9,82,25,3.1
공주,19,44.6,65.8,65.5,22.2,7.3
과천,11.4,56,74.2,91.2,26.5,5.7
광명,16.3,48.5,70.3,84.1,30.4,3.7
광양,16.8,59,61.8,71.1,21.2,2.9
광주,21.5,56.4,61.3,91.6,22.5,2
광주광산,17.1,48.6,54.4,70.7,27.1,4.8
광주남구,19.4,52.9,77.6,90.4,27.2,6
광주동구,17.7,53.7,76.2,85.1,29.9,4.7
광주북구,19.6,54.5,67.5,79.5,26.7,3.7
광주서구,18.9,56.2,60.3,73.5,28.3,4.4
괴산,22.8,54.8,60.4,85.4,30.4,6.3
구례,14.1,43.7,70.3,84.4,14.8,1.1
구리,17.3,56.2,71.4,66.8,30.7,3.3
구미,24.4,58.4,65.1,79.7,27.7,6.7
군산,17.7,47.8,59.7,73.1,26,3
군위,14.2,29.9,68.7,89.5,18.8,6.5
군포,13.1,57.8,71.9,81.2,27.9,7
금산,22.2,47.4,55.8,81.4,24.5,8.5
김제,24.9,40.5,56.4,81.8,29.4,5.6
김천,18.2,51.8,59.8,85.9,24.7,5.8
김포,18.5,56.1,73.1,85.9,34.2,8.7
김해,20.2,56.7,65.8,85.4,29.5,10.2
나주,21,55.9,65.9,88.1,27.5,7.3
남양주,20.4,53.5,72.2,83.9,29.7,6.8
