,addr,obesity_1,obesity_2,x,y,광역시도,행정구역
0,서울강남,24.8,26.3,6,7,서울특별시,강남구
1,서울강동,31.3,32.0,8,5,서울특별시,강동구
2,서울강북,30.3,31.2,5,2,서울특별시,강북구
3,서울강서,29.9,31.2,4,4,서울특별시,강서구
4,서울관악,26.6,25.5,5,6,서울특별시,관악구
5,서울광진,24.6,24.5,7,6,서울특별시,광진구
6,서울구로,29.0,28.7,4,7,서울특별시,구로구
7,서울금천,29.9,29.6,5,7,서울특별시,금천구
8,서울노원,30.9,31.7,6,1,서울특별시,노원구
9,서울도봉,33.5,36.0,5,1,서울특별시,도봉구
10,서울동대문,30.8,30.5,7,4,서울특별시,동대문구
11,서울동작,29.1,28.9,5,5,서울특별시,동작구
12,서울마포,27.2,27.7,5,4,서울특별시,마포구
13,서울서대문,26.5,27.2,5,3,서울특별시,서대문구
14,서울서초,24.0,24.7,6,6,서울특별시,서초구
15,서울성동,28.6,28.7,7,5,서울특별시,성동구
16,서울성북,27.5,27.0,6,2,서울특별시,성북구
17,서울송파,26.5,26.7,8,6,서울특별시,송파구
18,서울양천,28.6,28.9,4,5,서울특별시,양천구
19,서울영등포,27.7,28.0,4,6,서울특별시,영등포구
20,서울용산,25.4,24.6,6,5,서울특별시,용산구
21,서울은평,27.9,27.7,4,3,서울특별시,은평구
22,서울종로,28.1,28.9,6,3,서울특별시,종로구
23,서울중구,25.6,25.4,6,4,서울특별시,중구
24,서울중랑,31.4,31.8,8,4,서울특별시,중랑구
25,부산강서,31.5,30.5,8,18,부산광역시,강서구
26,부산금정,27.3,27.7,10,15,부산광역시,금정구
27,부산기장,31.4,31.9,12,16,부산광역시,기장군
28,부산남구,30.9,32.6,11,19,부산광역시,남구
29,부산동구,31.4,32.5,10,17,부산광역시,동구
30,부산동래,26.9,28.7,11,16,부산광역시,동래구
31,부산부산진,26.6,28.1,10,16,부산광역시,부산진구
32,부산북구,29.2,30.2,9,16,부산광역시,북구
33,부산사상,33.4,35.0,9,17,부산광역시,사상구
34,부산사하,29.6,30.8,9,19,부산광역시,사하구
35,부산서구,26.8,26.4,9,18,부산광역시,서구
36,부산수영,28.8,30.6,11,18,부산광역시,수영구
37,부산연제,26.8,27.5,11,17,부산광역시,연제구
38,부산영도,30.6,31.8,10,19,부산광역시,영도구
39,부산중구,31.5,33.3,10,18,부산광역시,중구
40,부산해운대,27.1,28.8,12,17,부산광역시,해운대구
41,대구남구,29.8,33.6,9,14,대구광역시,남구
42,대구달서,29.4,30.2,8,15,대구광역시,달서구
43,대구달성,31.6,32.0,9,15,대구광역시,달성군
44,대구동구,28.8,29.2,11,13,대구광역시,동구
45,대구북구,31.2,31.4,9,13,대구광역시,북구
46,대구서구,30.2,30.6,8,14,대구광역시,서구
47,대구수성,22.6,25.1,10,14,대구광역시,수성구
48,대구중구,26.9,27.6,10,13,대구광역시,중구
49,인천강화,34.9,40.2,1,3,인천광역시,강화군
50,인천계양,32.4,32.9,2,5,인천광역시,계양구
51,인천남구,31.0,31.3,2,7,인천광역시,남구
52,인천남동,36.0,36.7,2,8,인천광역시,남동구
53,인천동구,38.8,39.1,1,5,인천광역시,동구
54,인천부평,32.9,33.6,2,6,인천광역시,부평구
55,인천서구,33.6,33.7,1,4,인천광역시,서구
56,인천연수,30.7,30.5,1,8,인천광역시,연수구
57,인천옹진,41.0,40.3,0,8,인천광역시,옹진군
58,인천중구,32.6,32.3,1,7,인천광역시,중구
59,광주광산,27.5,27.5,2,19,광주광역시,광산구
60,광주남구,27.3,27.3,2,21,광주광역시,남구
