,addr,total_2021,male_2021,female_2021,total_2019,male_2019,female_2019
0,서울종로,145551,70715,74836,151290,73746,77544
1,서울중구,122852,59868,62984,126171,61910,64261
2,서울용산,224977,108220,116757,228670,110356,118314
3,서울성동,288214,140517,147697,300889,147273,153616
4,서울광진,341505,164748,176757,351350,170262,181088
5,서울동대문,337857,167140,170717,346194,172113,174081
6,서울중랑,388911,192060,196851,397015,196959,200056
7,서울성북,432815,208711,224104,442650,214437,228213
8,서울강북,301430,146919,154511,313954,153235,160719
9,서울도봉,319211,155523,163688,333362,163051,170311
10,서울노원,514050,247676,266374,532905,257923,274982
11,서울은평,474414,226964,247450,480032,231528,248504
12,서울서대문,306472,146553,159919,309397,148663,160734
13,서울마포,370053,174204,195849,374035,176891,197144
14,서울양천,449603,220421,229182,458165,225186,232979
15,서울강서,576361,277705,298656,591796,286563,305233
16,서울구로,397887,196249,201638,406664,200987,205677
17,서울금천,230759,116714,114045,232810,118209,114601
18,서울영등포,377655,186526,191129,367678,182438,185240
19,서울동작,387558,187510,200048,395963,191976,203987
20,서울관악,488304,245308,242996,500094,251009,249085
21,서울서초,417568,199722,217846,430826,206039,224787
22,서울강남,532818,254936,277882,545169,260806,284363
23,서울송파,658991,317635,341356,675961,327164,348797
24,서울강동,464411,228196,236215,436067,215335,220732
25,부산중구,40713,19862,20851,41910,20557,21353
26,부산서구,105996,51308,54688,108229,52627,55602
27,부산동구,87585,42817,44768,88165,43327,44838
28,부산영도,111386,54888,56498,116711,57629,59082
29,부산부산진,355138,171257,183881,357880,173446,184434
30,부산동래,267672,130155,137517,271247,132295,138952
31,부산남구,263333,128710,134623,274480,134519,139961
32,부산북구,283901,140302,143599,291132,144229,146903
33,부산해운대,398117,191483,206634,406102,195960,210142
34,부산사하,306885,152766,154119,321004,160101,160903
35,부산금정,229240,112060,117180,239062,117070,121992
36,부산강서,141688,73380,68308,129566,66982,62584
37,부산연제,205700,99010,106690,209395,101253,108142
38,부산수영,175815,83040,92775,176148,83565,92583
39,부산사상,209547,105794,103753,218094,110286,107808
40,부산기장,176811,87546,89265,164716,81571,83145
41,대구중구,74125,35580,38545,77421,37384,40037
42,대구동구,340242,167453,172789,345469,170601,174868
43,대구서구,166878,83453,83425,175277,88052,87225
44,대구남구,144564,69510,75054,148113,71366,76747
45,대구북구,436827,217339,219488,437710,218150,219560
46,대구수성,419837,203120,216717,428614,208024,220590
47,대구달서,549494,270975,278519,568887,281348,287539
48,대구달성,261659,132793,128866,256540,130361,126179
49,인천중구,141341,73472,67869,135135,70063,65072
50,인천동구,62410,31517,30893,64427,32536,31891
51,인천남구,405811,204357,201454,408862,206129,202733
52,인천연수,390107,193801,196306,366550,182374,184176
53,인천남동,519667,258080,261587,532704,264955,267749
54,인천부평,489178,241608,247570,511577,253338,258239
55,인천계양,295492,147178,148314,303471,151569,151902
56,인천서구,544726,275064,269662,544556,274942,269614
57,인천강화,69324,34679,34645,69178,34665,34513
58,인천옹진,20373,11591,8782,20566,11678,8888
59,광주동구,103333,50981,52352,98585,48799,49786
60,광주서구,292400,143271,149129,300975,147671,153304
61,광주남구,214051,102881,111170,218060,105027,113033
62,광주북구,427773,212410,215363,433533,215260,218273
63,광주광산,404413,203743,200670,405315,203983,201332
64,대전동구,223206,112538,110668,226771,114447,112324
65,대전중구,232309,114475,117834,240473,118864,121609
66,대전서구,474504,233278,241226,481222,236851,244371
67,대전유성,349809,176672,173137,349373,176415,172958
68,대전대덕,174851,88993,85858,177031,90030,87001
69,울산중구,214280,108516,105764,223581,113526,110055
70,울산남구,315599,160976,154623,323819,165062,158757
71,울산동구,154705,80767,73938,159656,83391,76265
